starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 14 16:35:09 2019	1565793309	0	1531	1531	1341
Wed Aug 14 16:35:30 2019	1565793330	0	1531	1531	1344
Wed Aug 14 16:34:53 2019	1565793293	0	1531	1531	1345
Wed Aug 14 16:35:36 2019	1565793336	0	1531	1531	1347
Wed Aug 14 16:35:26 2019	1565793326	0	1531	1532	1326
Wed Aug 14 16:36:33 2019	1565793393	0	1532	1532	1346
Wed Aug 14 16:35:35 2019	1565793335	0	1532	1532	1324
Wed Aug 14 16:36:29 2019	1565793389	0	1532	1532	1345
Wed Aug 14 16:36:39 2019	1565793399	0	1532	1532	1350
Wed Aug 14 16:35:11 2019	1565793311	0	1532	1532	1347
Wed Aug 14 16:35:51 2019	1565793351	0	1532	1533	1337
Wed Aug 14 16:36:21 2019	1565793381	0	1533	1533	1338
Wed Aug 14 16:36:34 2019	1565793394	0	1533	1533	1331
Wed Aug 14 16:36:55 2019	1565793415	0	1533	1533	1329
Wed Aug 14 16:35:30 2019	1565793330	0	1533	1533	1345
Wed Aug 14 16:37:36 2019	1565793456	0	1533	1533	1346
Wed Aug 14 16:37:18 2019	1565793438	0	1533	1534	1329
Wed Aug 14 16:35:09 2019	1565793309	0	1534	1534	1347
Wed Aug 14 16:35:03 2019	1565793303	0	1534	1534	1342
Wed Aug 14 16:35:51 2019	1565793351	0	1534	1534	1351
Wed Aug 14 16:36:52 2019	1565793412	0	1534	1534	1350
Wed Aug 14 16:36:32 2019	1565793392	0	1534	1534	1346
Wed Aug 14 16:36:38 2019	1565793398	0	1535	1535	1345
Wed Aug 14 16:37:47 2019	1565793467	0	1535	1535	1345
Wed Aug 14 16:35:04 2019	1565793304	0	1535	1535	1347
Wed Aug 14 16:35:35 2019	1565793335	0	1535	1535	1351
Wed Aug 14 16:36:39 2019	1565793399	0	1535	1535	1352
Wed Aug 14 16:36:52 2019	1565793412	0	1535	1535	1345
Wed Aug 14 16:36:33 2019	1565793393	0	1535	1535	1348
Wed Aug 14 16:35:51 2019	1565793351	0	1535	1535	1342
Wed Aug 14 16:36:31 2019	1565793391	0	1535	1535	1348
Wed Aug 14 16:37:18 2019	1565793438	0	1535	1535	1344
Wed Aug 14 16:36:38 2019	1565793398	0	1536	1536	1328
Wed Aug 14 16:37:29 2019	1565793449	0	1536	1536	1334
Wed Aug 14 16:36:55 2019	1565793415	0	1536	1536	1349
Wed Aug 14 16:34:53 2019	1565793293	0	1536	1536	1340
Wed Aug 14 16:37:58 2019	1565793478	0	1536	1536	1350
Wed Aug 14 16:36:13 2019	1565793373	0	1537	1537	1345
Wed Aug 14 16:36:20 2019	1565793380	0	1537	1537	1359
Wed Aug 14 16:36:25 2019	1565793385	0	1537	1537	1347
Wed Aug 14 16:35:35 2019	1565793335	0	1537	1537	1353
Wed Aug 14 16:35:35 2019	1565793335	0	1537	1537	1347
Wed Aug 14 16:37:17 2019	1565793437	0	1537	1538	1355
Wed Aug 14 16:35:51 2019	1565793351	0	1538	1538	1352
Wed Aug 14 16:37:58 2019	1565793478	0	1538	1538	1349
Wed Aug 14 16:36:10 2019	1565793370	0	1538	1538	1325
Wed Aug 14 16:35:57 2019	1565793357	0	1538	1538	1335
Wed Aug 14 16:36:32 2019	1565793392	0	1538	1538	1351
Wed Aug 14 16:37:58 2019	1565793478	0	1539	1539	1347
Wed Aug 14 16:36:52 2019	1565793412	0	1539	1539	1349
Wed Aug 14 16:35:30 2019	1565793330	0	1539	1539	1341
Wed Aug 14 16:37:47 2019	1565793467	0	1539	1539	1350
Wed Aug 14 16:36:28 2019	1565793388	0	1539	1539	1355
Wed Aug 14 16:35:35 2019	1565793335	0	1539	1539	1354
Wed Aug 14 16:37:30 2019	1565793450	0	1540	1540	1351
Wed Aug 14 16:36:32 2019	1565793392	0	1540	1540	1353
Wed Aug 14 16:36:09 2019	1565793369	0	1540	1540	1358
Wed Aug 14 16:37:52 2019	1565793472	0	1541	1541	1345
Wed Aug 14 16:35:52 2019	1565793352	0	1541	1541	1348
Wed Aug 14 16:35:25 2019	1565793325	0	1541	1541	1354
Wed Aug 14 16:36:00 2019	1565793360	0	1541	1541	1357
Wed Aug 14 16:35:50 2019	1565793350	0	1541	1541	1359
Wed Aug 14 16:37:30 2019	1565793450	0	1541	1541	1354
Wed Aug 14 16:35:03 2019	1565793303	0	1541	1541	1358
Wed Aug 14 16:36:11 2019	1565793371	0	1541	1541	1357
Wed Aug 14 16:37:36 2019	1565793456	0	1541	1541	1345
Wed Aug 14 16:36:31 2019	1565793391	0	1542	1542	1348
Wed Aug 14 16:36:28 2019	1565793388	0	1542	1542	1340
Wed Aug 14 16:36:32 2019	1565793392	0	1542	1542	1351
Wed Aug 14 16:36:22 2019	1565793382	0	1542	1542	1352
Wed Aug 14 16:36:51 2019	1565793411	0	1542	1542	1355
Wed Aug 14 16:36:47 2019	1565793407	0	1542	1542	1342
Wed Aug 14 16:35:52 2019	1565793352	0	1542	1542	1340
Wed Aug 14 16:36:10 2019	1565793370	0	1542	1542	1358
Wed Aug 14 16:35:32 2019	1565793332	0	1542	1543	1355
Wed Aug 14 16:35:16 2019	1565793316	0	1543	1543	1358
Wed Aug 14 16:36:26 2019	1565793386	0	1543	1543	1353
Wed Aug 14 16:36:41 2019	1565793401	0	1543	1543	1334
Wed Aug 14 16:35:52 2019	1565793352	0	1543	1543	1356
Wed Aug 14 16:34:53 2019	1565793293	0	1543	1543	1351
Wed Aug 14 16:37:22 2019	1565793442	0	1543	1543	1334
Wed Aug 14 16:37:52 2019	1565793472	0	1543	1543	1353
Wed Aug 14 16:35:30 2019	1565793330	0	1543	1543	1358
Wed Aug 14 16:37:47 2019	1565793467	0	1543	1543	1356
Wed Aug 14 16:36:11 2019	1565793371	0	1544	1544	1356
Wed Aug 14 16:36:16 2019	1565793376	0	1544	1544	1331
Wed Aug 14 16:35:25 2019	1565793325	0	1544	1544	1361
Wed Aug 14 16:36:10 2019	1565793370	0	1544	1544	1359
Wed Aug 14 16:37:52 2019	1565793472	0	1545	1545	1346
Wed Aug 14 16:36:08 2019	1565793368	0	1545	1545	1344
Wed Aug 14 16:34:46 2019	1565793286	0	1545	1545	1355
Wed Aug 14 16:36:09 2019	1565793369	0	1545	1545	1361
Wed Aug 14 16:35:36 2019	1565793336	0	1545	1545	1358
Wed Aug 14 16:36:10 2019	1565793370	0	1545	1545	1361
Wed Aug 14 16:36:32 2019	1565793392	0	1545	1545	1350
Wed Aug 14 16:36:28 2019	1565793388	0	1545	1545	1365
Wed Aug 14 16:36:56 2019	1565793416	0	1545	1545	1345
Wed Aug 14 16:35:35 2019	1565793335	0	1546	1546	1357
Wed Aug 14 16:36:09 2019	1565793369	0	1546	1546	1359
Wed Aug 14 16:37:58 2019	1565793478	0	1546	1546	1350
Wed Aug 14 16:35:18 2019	1565793318	0	1546	1546	1332
Wed Aug 14 16:34:52 2019	1565793292	0	1546	1546	1362
Wed Aug 14 16:36:13 2019	1565793373	0	1546	1546	1363
Wed Aug 14 16:35:21 2019	1565793321	0	1546	1546	1334
Wed Aug 14 16:37:33 2019	1565793453	0	1546	1546	1363
Wed Aug 14 16:35:25 2019	1565793325	0	1546	1546	1361
Wed Aug 14 16:35:50 2019	1565793350	0	1547	1547	1345
Wed Aug 14 16:35:04 2019	1565793304	0	1547	1547	1364
Wed Aug 14 16:36:25 2019	1565793385	0	1547	1547	1348
Wed Aug 14 16:35:10 2019	1565793310	0	1547	1547	1336
Wed Aug 14 16:35:01 2019	1565793301	0	1547	1547	1358
Wed Aug 14 16:36:27 2019	1565793387	0	1547	1547	1359
Wed Aug 14 16:36:13 2019	1565793373	0	1547	1547	1349
Wed Aug 14 16:36:53 2019	1565793413	0	1547	1547	1337
Wed Aug 14 16:35:59 2019	1565793359	0	1547	1547	1368
Wed Aug 14 16:36:09 2019	1565793369	0	1548	1548	1362
Wed Aug 14 16:36:26 2019	1565793386	0	1548	1548	1350
Wed Aug 14 16:34:55 2019	1565793295	0	1548	1548	1325
Wed Aug 14 16:35:05 2019	1565793305	0	1548	1548	1365
Wed Aug 14 16:37:57 2019	1565793477	0	1549	1549	1362
Wed Aug 14 16:35:25 2019	1565793325	0	1549	1549	1364
Wed Aug 14 16:37:18 2019	1565793438	0	1549	1549	1355
Wed Aug 14 16:36:13 2019	1565793373	0	1549	1549	1361
Wed Aug 14 16:35:24 2019	1565793324	0	1549	1549	1365
Wed Aug 14 16:36:01 2019	1565793361	0	1549	1549	1360
Wed Aug 14 16:35:24 2019	1565793324	0	1549	1549	1347
Wed Aug 14 16:35:25 2019	1565793325	0	1549	1549	1367
Wed Aug 14 16:36:40 2019	1565793400	0	1549	1549	1361
Wed Aug 14 16:36:26 2019	1565793386	0	1550	1550	1359
Wed Aug 14 16:35:11 2019	1565793311	0	1550	1550	1364
Wed Aug 14 16:35:52 2019	1565793352	0	1550	1550	1358
Wed Aug 14 16:34:52 2019	1565793292	0	1550	1550	1367
Wed Aug 14 16:37:28 2019	1565793448	0	1550	1550	1364
Wed Aug 14 16:35:28 2019	1565793328	0	1550	1550	1359
Wed Aug 14 16:37:37 2019	1565793457	0	1550	1550	1355
Wed Aug 14 16:37:36 2019	1565793456	0	1550	1550	1357
Wed Aug 14 16:37:52 2019	1565793472	0	1551	1551	1350
Wed Aug 14 16:35:10 2019	1565793310	0	1551	1551	1348
Wed Aug 14 16:37:25 2019	1565793445	0	1551	1551	1332
Wed Aug 14 16:36:28 2019	1565793388	0	1551	1551	1360
Wed Aug 14 16:35:03 2019	1565793303	0	1551	1551	1364
Wed Aug 14 16:35:04 2019	1565793304	0	1551	1551	1348
Wed Aug 14 16:36:59 2019	1565793419	0	1551	1551	1359
Wed Aug 14 16:35:59 2019	1565793359	0	1552	1552	1359
Wed Aug 14 16:35:53 2019	1565793353	0	1552	1552	1356
Wed Aug 14 16:35:31 2019	1565793331	0	1552	1552	1360
Wed Aug 14 16:36:26 2019	1565793386	0	1552	1552	1366
Wed Aug 14 16:36:29 2019	1565793389	0	1552	1552	1343
Wed Aug 14 16:35:39 2019	1565793339	0	1552	1552	1339
Wed Aug 14 16:35:07 2019	1565793307	0	1552	1552	1352
Wed Aug 14 16:34:52 2019	1565793292	0	1553	1553	1370
Wed Aug 14 16:37:47 2019	1565793467	0	1553	1553	1343
Wed Aug 14 16:36:19 2019	1565793379	0	1553	1553	1362
Wed Aug 14 16:35:03 2019	1565793303	0	1553	1553	1366
Wed Aug 14 16:36:59 2019	1565793419	0	1553	1553	1345
Wed Aug 14 16:35:53 2019	1565793353	0	1554	1554	1368
Wed Aug 14 16:35:09 2019	1565793309	0	1554	1554	1368
Wed Aug 14 16:35:21 2019	1565793321	0	1554	1554	1360
Wed Aug 14 16:37:46 2019	1565793466	0	1555	1555	1368
Wed Aug 14 16:35:50 2019	1565793350	0	1555	1555	1370
Wed Aug 14 16:36:27 2019	1565793387	0	1555	1555	1358
Wed Aug 14 16:35:27 2019	1565793327	0	1555	1555	1344
Wed Aug 14 16:36:56 2019	1565793416	0	1555	1555	1366
Wed Aug 14 16:35:50 2019	1565793350	0	1555	1555	1360
Wed Aug 14 16:37:18 2019	1565793438	0	1555	1555	1362
Wed Aug 14 16:35:02 2019	1565793302	0	1555	1555	1367
Wed Aug 14 16:36:29 2019	1565793389	0	1556	1556	1359
Wed Aug 14 16:36:42 2019	1565793402	0	1556	1556	1354
Wed Aug 14 16:36:58 2019	1565793418	0	1556	1556	1369
Wed Aug 14 16:36:38 2019	1565793398	0	1556	1556	1373
Wed Aug 14 16:35:07 2019	1565793307	0	1556	1556	1370
Wed Aug 14 16:34:52 2019	1565793292	0	1556	1556	1368
Wed Aug 14 16:35:01 2019	1565793301	0	1556	1556	1365
Wed Aug 14 16:35:57 2019	1565793357	0	1556	1556	1367
Wed Aug 14 16:36:56 2019	1565793416	0	1557	1557	1346
Wed Aug 14 16:35:02 2019	1565793302	0	1557	1557	1371
Wed Aug 14 16:36:27 2019	1565793387	0	1557	1557	1357
Wed Aug 14 16:37:24 2019	1565793444	0	1557	1557	1358
Wed Aug 14 16:36:08 2019	1565793368	0	1557	1557	1375
Wed Aug 14 16:36:03 2019	1565793363	0	1557	1557	1368
Wed Aug 14 16:37:30 2019	1565793450	0	1557	1557	1375
Wed Aug 14 16:36:40 2019	1565793400	0	1557	1557	1367
